t_statistic,p_value,mean_before_2018,variance_before_2018,mean_after_2018,variance_after_2018
1.432,0.152,79.142,1429.789,74.646,1085.136
-0.614,0.539,44.0,42.286,47.323,233.456
0.32,0.749,61.0,58.2,59.969,113.758
0.848,0.397,11.375,1.411,10.567,7.243
0.585,0.559,10.75,2.5,10.171,7.797
0.93,0.353,0.545,0.273,0.407,0.242
-0.362,0.717,0.0,0.0,0.045,0.173
-0.28,0.78,0.0,0.0,0.007,0.007
-0.935,0.35,0.636,0.255,0.758,0.184
-1.175,0.24,1818.334,12231690.848,2377.953,26628914.065
4.822,< 0.001,5785.933,95517112.429,2816.921,30546765.508
-1.582,0.114,6.788,11.073,7.17,12.222
0.394,0.694,58840.929,613012339.814,54812.273,26486127648.12
1.178,0.239,0.075,0.069,0.055,0.052
-0.579,0.563,0.04,0.038,0.048,0.046
-1.209,0.227,0.035,0.034,0.054,0.051
2.093,0.037,0.083,0.077,0.049,0.047
0.678,0.498,0.204,0.163,0.185,0.151
-0.34,0.734,0.012,0.012,0.015,0.014
